75768774473	6256943538	0	38673316	1	2	6	0.009369	0.01244	0.00003052	0
75768774476	6256943605	0		0	0	6	0.006248	0.001972	0.00003052	0
75768774477	6256943605	1		0	0	6	0.006248	0.001972	0.00003052	0
75768774478	6256943829	0		0	2	0	0.006248	0.01244	0.00003815	0
75768774488	6256941954	0	6567587	1	1	4	0.03125	0.004478	0.000001907	0
75768774502	515042969	6	4820234896	1	2	0	0.01562	0.01553	0.0002155	0
75768774510	6256830227	1367	4043037719	1	0	0	0.02249	0.0575	0.0004635	0
75768774522	6256943978	0	711217	1	1	0	0.006248	0.01553	0.00003815	0
75768806158	5495695565	0		0	0	0	0.05627	0.007767	0.0003862	0
75768806160	5495695565	2		0	0	0	0.05627	0.007767	0.0003862	0
75768811807	6183750753	63	1271190	2	1	0	0.125	0.03339	0.00001907	0
75768811814	6183750753	63		0	1	0	0.125	0.03339	0.00001907	0
75768811816	6256941635	12	1271190	1	0	4	0.1775	0.03107	0.00005627	0
75769651843	6256943605	0	38673316	1	0	6	0.006248	0.001972	0.00003052	0
75769651857	6256943605	1	418559	1	0	6	0.006248	0.001972	0.00003052	0
75769651865	6255708300	924	8055128	1	0	1	0.0625	0.0318	0.0002699	0
75769651874	6221861800	8036	5168862796	1	0	0	0.0125	0.0159	0.0004044	0
75769651893	6255532702	434	3938932309	1	0	0	0.06873	0.01193	0.0001154	0
75769651935	6256830227	1368	333938877	1	0	0	0.02249	0.0575	0.0004635	0
75769651978	6256830227	1369	4043130100	1	0	0	0.02249	0.0575	0.0004635	0
75769651993	6256943829	0	4100274288	1	2	0	0.006248	0.01244	0.00003815	0
75769706555	6256606278	343	257335555	4	0	0	0.009369	0.01663	0.0006943	0
75769706778	6183750753	14	1270372	2	1	0	0.125	0.03339	0.00001907	0
75769706785	6183750753	14		0	1	0	0.125	0.03339	0.00001907	0
75769706786	6249834537	441	1270372	2	0	0	0.05627	0.0202	0.00007725	0
75769706797	6249834537	441		0	0	0	0.05627	0.0202	0.00007725	0
75769706799	6256941635	5	1270372	1	0	4	0.1775	0.03107	0.00005627	0
75769706983	515042969	13		5	2	0	0.01562	0.01553	0.0002155	0
75769706986	515042969	13		0	2	0	0.01562	0.01553	0.0002155	0
75769707097	6256880649	50	1275448	4	1	4	0.09998	0.02069	0.00003815	1
75770498234	5495695565	0	854208739	1	0	0	0.05627	0.007767	0.0003862	0
75770498252	5495695565	2	1338899	1	0	0	0.05627	0.007767	0.0003862	0
75770523127	6256934523	0	766857119	4	0	6	0.009369	0.002735	0.00003052	0
75770523221	6255735278	4188	351662225	2	0	4	0.0625	0.1228	0.001158	0
75770523229	6255735278	4188		0	0	4	0.0625	0.1228	0.001158	0
75770523240	6183750753	11	4802905544	2	1	0	0.125	0.03339	0.00001907	0
75770523247	6183750753	11		0	1	0	0.125	0.03339	0.00001907	0
75770523248	6238340468	68	4802905544	2	1	0	0.0625	0.03961	0.00003815	0
75770523256	6238340468	68		0	1	0	0.0625	0.03961	0.00003815	0
